Designator,Mid X,Mid Y,Rotation,Layer
C1,20.75,47.0,90.0,top
C10,71.3,31.35,180.0,top
C100,7.0,49.25,0.0,top
C101,14.475,45.825,270.0,bottom
C102,64.95,4.85,270.0,bottom
C103,33.075,30.85,0.0,bottom
C104,36.2,30.55,0.0,bottom
C105,45.5,48.8,180.0,top
C106,45.5,47.6,180.0,top
C107,54.6,51.8,0.0,top
C108,54.6,50.5,0.0,top
C109,46.35,52.95,270.0,top
C11,62.15,22.05,180.0,top
C110,50.65,20.95,90.0,bottom
C111,45.5,51.400001,0.0,top
C112,44.050001,56.0,270.0,bottom
C113,45.5,50.1,0.0,top
C114,53.35,54.0,0.0,top
C115,52.539949,56.0,90.0,top
C116,51.3,56.0,90.0,top
C117,48.599999,62.95,270.0,bottom
C118,70.5,25.3,90.0,top
C119,76.5,25.0,90.0,top
C12,68.5,33.0,180.0,top
C120,61.05,13.7,180.0,top
C121,60.6,12.4,180.0,top
C122,60.95,2.9,180.0,bottom
C123,61.9,19.95,0.0,top
C124,78.45,18.15,90.0,top
C125,75.2,19.15,180.0,bottom
C126,75.2,20.45,180.0,bottom
C127,74.5,17.3,270.0,bottom
C128,59.85,19.45,0.0,bottom
C129,72.3,21.7,180.0,bottom
C13,78.35,58.150001,90.0,top
C130,63.7,15.1,180.0,bottom
C131,74.5,14.65,90.0,bottom
C132,76.85,13.75,180.0,bottom
C133,63.7,14.1,180.0,bottom
C134,64.199999,18.6,270.0,bottom
C135,63.7,16.1,180.0,bottom
C136,64.9,9.65,270.0,bottom
C137,69.3,21.0,270.0,bottom
C138,68.1,21.0,270.0,bottom
C139,62.4,11.9,270.0,bottom
C14,60.15,33.7,90.0,top
C140,66.9,21.0,270.0,bottom
C141,75.8,11.3,180.0,bottom
C142,75.35,12.45,0.0,bottom
C143,64.1,12.45,270.0,bottom
C144,27.2,2.8625,90.0,bottom
C145,28.4,2.8625,90.0,bottom
C146,29.6,2.8625,90.0,bottom
C147,30.8,2.8625,90.0,bottom
C148,49.9,2.9,90.0,bottom
C149,51.1,2.9,90.0,bottom
C15,57.35,34.7,270.0,top
C150,65.0,51.55,270.0,top
C151,68.3375,43.8125,270.0,top
C152,62.3,44.0,90.0,top
C153,67.35,57.45,90.0,top
C154,68.5,57.0,90.0,top
C155,69.5,57.0,270.0,top
C156,59.5,57.15,270.0,bottom
C16,58.65,34.95,270.0,top
C17,58.275,29.15,180.0,top
C18,60.15,42.7,90.0,top
C19,57.35,43.7,270.0,top
C2,15.0,46.0,90.0,top
C20,58.65,43.95,270.0,top
C21,57.4,38.3,180.0,top
